DEMANDA (milhares),Linha 1-Azul ,Linha 2-Verde,Linha 3-Vermelha,Linha 15-Prata ,Rede
Total,29.566999999999997,16.774,32.289,1.3619999999999999,79.992
Média dos dias úteis ,1.11,645.0,1.212,53.0,3.0189999999999997
Média dos Sábados ,656.0,298.0,729.0,26.0,1.71
Média dos Domingos ,384.0,199.0,412.0,12.0,1.006
Máxima Diária ,1.157,661.0,1.261,55.0,3.125
¹ Corresponde às entradas pelas linhas de bloqueios,,,,,
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 13/11/2019,,,,,
