DEMANDA (milhares),Linha 1-Azul ,Linha 2-Verde,Linha 3-Vermelha,Linha 15-Prata,Rede
Total,9.795,5.57,12.699000000000002,887.0,28.951
Média dos dias úteis ,398.0,230.0,511.0,36.0,1.175
Média dos Sábados ,192.0,99.0,256.0,18.0,566.0
Média dos Domingos ,100.0,53.0,144.0,10.0,306.0
Máxima Diária ,531.0,286.0,664.0,43.0,1.5230000000000001
¹ Corresponde às entradas pelas linhas de bloqueios,,,,,
² Demanda reduzida devido à pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03/2020,,,,,
Fonte: Diretoria de Operações/Departamento de Apoio à Gestão/Coordenadoria de Estudos Estatísticos e Informações Estratégicas - 14/04/2021,,,,,
,,,,,
