DEMANDA (milhares),Linha 1-Azul ,Linha 2-Verde,Linha 3-Vermelha,Linha 15-Prata,Rede
Total,12.855,6.482,16.328,1.0090000000000001,36.675
Média dos dias úteis ,514.0,267.0,647.0,40.0,1.4669999999999999
Média dos Sábados ,328.0,139.0,423.0,26.0,916.0
Média dos Domingos ,173.0,81.0,235.0,14.0,503.0
Máxima Diária ,557.0,288.0,719.0,44.0,1.607
¹ Corresponde às entradas pelas linhas de bloqueios,,,,,
² Demanda reduzida devido à pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03,,,,,
Fonte: Diretoria de Operações/Departamento de Apoio à Gestão/Coordenadoria de Estudos Estatísticos e Informações Estratégicas - 18/01/2021,,,,,
,,,,,
