DEMANDA (milhares),Linha 1-Azul ,Linha 2-Verde,Linha 3-Vermelha,Linha 15-Prata ,Rede
Total,27.541999999999998,15.515999999999998,30.584,856.0,74.498
Média dos dias úteis ,1.126,648.0,1.227,36.0,3.037
Média dos Sábados ,579.0,267.0,704.0,15.0,1.565
Média dos Domingos ,318.0,170.0,402.0,8.0,897.0
Máxima Diária ,1.153,659.0,1.256,37.0,3.09
¹ Corresponde às entradas pelas linhas de bloqueios,,,,,
,,,,,
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 14/05/2019,,,,,
