DEMANDA (milhares),Linha 1-Azul ,Linha 2-Verde,Linha 3-Vermelha,Linha 15-Prata,Rede
Total,7.2410000000000005,3.978,9.911,405.0,21.534000000000002
Média dos dias úteis ,284.0,157.0,386.0,16.0,844.0
Média dos Sábados ,163.0,81.0,227.0,7.0,478.0
Média dos Domingos ,85.0,47.0,128.0,4.0,264.0
Máxima Diária ,319.0,175.0,425.0,23.0,942.0
¹ Corresponde às entradas pelas linhas de bloqueios,,,,,
² Demanda reduzida devido à pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03,,,,,
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 27/07/2020,,,,,
,,,,,
