DEMANDA (milhares),Linha 1-Azul ,Linha 2-Verde,Linha 3-Vermelha,Linha 15-Prata,Rede
Total,12.75,6.647,15.977,986.0,36.359
Média dos dias úteis ,493.0,264.0,615.0,38.0,1.41
Média dos Sábados ,320.0,141.0,395.0,24.0,880.0
Média dos Domingos ,152.0,78.0,209.0,13.0,452.0
Máxima Diária ,514.0,275.0,648.0,41.0,1.475
¹ Corresponde às entradas pelas linhas de bloqueios,,,,,
² Demanda reduzida devido à pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03,,,,,
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 10/11/2020,,,,,
,,,,,
