DEMANDA (milhares),Linha 1-Azul ,Linha 2-Verde,Linha 3-Vermelha,Linha 15-Prata ,Rede
Total,27.683000000000003,15.460999999999999,31.037,1.139,75.32
Média dos dias úteis ,1.071,614.0,1.187,46.0,2.918
Média dos Sábados ,578.0,263.0,681.0,15.0,1.536
Média dos Domingos ,306.0,161.0,382.0,10.0,860.0
Máxima Diária ,1.105,634.0,1.216,51.0,2.9930000000000003
¹ Corresponde às entradas pelas linhas de bloqueios,,,,,
,,,,,
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 09/09/2019,,,,,
