DEMANDA (milhares),Linha 1-Azul ,Linha 2-Verde,Linha 3-Vermelha,Linha 15-Prata,Rede
Total,12.873,6.695,16.02,1.002,36.589
Média dos dias úteis ,520.0,276.0,641.0,40.0,1.4780000000000002
Média dos Sábados ,355.0,156.0,441.0,27.0,979.0
Média dos Domingos ,176.0,90.0,239.0,15.0,521.0
Máxima Diária ,545.0,286.0,681.0,43.0,1.5490000000000002
¹ Corresponde às entradas pelas linhas de bloqueios,,,,,
² Demanda reduzida devido à pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03,,,,,
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 21/12/2020,,,,,
,,,,,
