DEMANDA (milhares),Linha 1-Azul ,Linha 2-Verde,Linha 3-Vermelha,Linha 15-Prata ,Rede
Total,26.549,15.238,30.215999999999998,1.2109999999999999,73.215
Média dos dias úteis ,1.075,631.0,1.212,51.0,2.968
Média dos Sábados ,576.0,273.0,693.0,20.0,1.5619999999999998
Média dos Domingos ,335.0,181.0,400.0,13.0,929.0
Máxima Diária ,1.113,652.0,1.261,53.0,3.06
¹ Corresponde às entradas pelas linhas de bloqueios,,,,,
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 08/10/2019,,,,,
