DEMANDA (milhares),Linha 1-Azul ,Linha 2-Verde,Linha 3-Vermelha,Linha 15-Prata ,Rede
Total,23.206999999999997,13.642000000000001,26.291999999999998,1.385,64.52600000000001
Média dos dias úteis ,900.0,542.0,1.015,57.0,2.515
Média dos Sábados ,500.0,236.0,584.0,19.0,1.338
Média dos Domingos ,300.0,164.0,343.0,10.0,817.0
Máxima Diária ,1.001,598.0,1.099,64.0,2.762
¹ Corresponde às entradas pelas linhas de bloqueios,,,,,
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 19/02/2020,,,,,
