DEMANDA (milhares),Linha 1-Azul ,Linha 2-Verde,Linha 3-Vermelha,Linha 15-Prata ,Rede
Total,23.584,12.655999999999999,26.236,504.0,62.98
Média dos dias úteis ,931.0,515.0,1.024,20.0,2.491
Média dos Sábados ,522.0,224.0,596.0,10.0,1.3519999999999999
Média dos Domingos ,321.0,158.0,385.0,6.0,871.0
Máxima Diária ,1.004,580.0,1.111,25.0,2.7089999999999996
¹ Corresponde às entradas pelas linhas de bloqueios,,,,,
,,,,,
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 13/02/2019,,,,,
