DEMANDA (milhares),Linha 1-Azul ,Linha 2-Verde,Linha 3-Vermelha,Linha 15-Prata *,Rede
Total,17.319000000000003,10.607999999999999,20.39,-,48.317
Média dos dias úteis ,679.0,423.0,790.0,-,1.892
Média dos Sábados ,337.0,176.0,418.0,-,930.0
Média dos Domingos ,206.0,121.0,266.0,-,593.0
Máxima Diária ,1.114,695.0,1.234,-,3.04
¹ Corresponde às entradas pelas linhas de bloqueios,,,,,
² Demanda reduzida devido à pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03.,,,,,
* A Linha 15-Prata permaneceu fechada devido à inspeção da frota de trens motivada pelo rompimento de um pneu de uma composição,,,,,
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 28/04/2020,,,,,
