DEMANDA (milhares),Linha 1-Azul ,Linha 2-Verde,Linha 3-Vermelha,Linha 15-Prata,Rede
Total,9.192,5.1610000000000005,11.808,831.0,26.991999999999997
Média dos dias úteis ,388.0,220.0,493.0,35.0,1.136
Média dos Sábados ,204.0,105.0,266.0,19.0,595.0
Média dos Domingos ,109.0,61.0,153.0,10.0,333.0
Máxima Diária ,449.0,250.0,566.0,39.0,1.304
¹ Corresponde às entradas pelas linhas de bloqueios,,,,,
² Demanda reduzida devido à pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03/2020,,,,,
Fonte: Diretoria de Operações/Departamento de Apoio à Gestão/Coordenadoria de Estudos Estatísticos e Informações Estratégicas - 12/05/2021,,,,,
,,,,,
