DEMANDA (milhares),Linha 1-Azul ,Linha 2-Verde,Linha 3-Vermelha,Linha 15-Prata ,Rede
Total,26.734,14.689,29.901,767.0,72.09100000000001
Média dos dias úteis ,1.123,638.0,1.2209999999999999,34.0,3.017
Média dos Sábados ,610.0,281.0,724.0,14.0,1.629
Média dos Domingos ,337.0,180.0,461.0,8.0,986.0
Máxima Diária ,1.148,666.0,1.2570000000000001,40.0,3.096
¹ Corresponde às entradas pelas linhas de bloqueios,,,,,
,,,,,
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 09/04/2019,,,,,
