DEMANDA (milhares),Linha 1-Azul ,Linha 2-Verde,Linha 3-Vermelha,Linha 15-Prata,Rede
Total,10.372,5.45,13.450999999999999,799.0,30.070999999999998
Média dos dias úteis ,406.0,218.0,522.0,31.0,1.177
Média dos Sábados ,253.0,114.0,329.0,20.0,715.0
Média dos Domingos ,117.0,61.0,169.0,10.0,356.0
Máxima Diária ,438.0,229.0,565.0,34.0,1.265
¹ Corresponde às entradas pelas linhas de bloqueios,,,,,
² Demanda reduzida devido à pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03,,,,,
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 30/09/2020,,,,,
,,,,,
