DEMANDA (milhares),Linha 1-Azul ,Linha 2-Verde,Linha 3-Vermelha,Linha 15-Prata ,Rede
Total,28.416,15.705,31.728,1.052,76.90100000000001
Média dos dias úteis ,1.1059999999999999,625.0,1.216,42.0,2.989
Média dos Sábados ,604.0,273.0,729.0,18.0,1.624
Média dos Domingos ,331.0,170.0,402.0,10.0,913.0
Máxima Diária ,1.145,676.0,1.254,46.0,3.0789999999999997
¹ Corresponde às entradas pelas linhas de bloqueios,,,,,
,,,,,
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 12/06/2019,,,,,
