DEMANDA (milhares),Linha 1-Azul ,Linha 2-Verde,Linha 3-Vermelha,Linha 15-Prata ,Rede
Total,24.713,13.769,28.296999999999997,981.0,67.76
Média dos dias úteis ,953.0,547.0,1.084,40.0,2.6239999999999997
Média dos Sábados ,572.0,259.0,675.0,12.0,1.517
Média dos Domingos ,325.0,169.0,390.0,11.0,894.0
Máxima Diária ,977.0,572.0,1.113,42.0,2.702
¹ Corresponde às entradas pelas linhas de bloqueios,,,,,
,,,,,
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 13/08/2019,,,,,
