DEMANDA (milhares),Linha 1-Azul ,Linha 2-Verde,Linha 3-Vermelha,Linha 15-Prata ,Rede
Total,23.993000000000002,13.279000000000002,27.103,934.0,65.308
Média dos dias úteis ,1.058,602.0,1.177,44.0,2.8810000000000002
Média dos Sábados ,580.0,261.0,699.0,19.0,1.558
Média dos Domingos ,321.0,180.0,367.0,11.0,879.0
Máxima Diária ,1.115,629.0,1.2309999999999999,46.0,3.014
¹ Corresponde às entradas pelas linhas de bloqueios,,,,,
,,,,,
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 23/07/2019,,,,,
