DEMANDA (milhares),Linha 1-Azul ,Linha 2-Verde,Linha 3-Vermelha,Linha 15-Prata ,Rede
Total,24.166999999999998,13.662,27.625,1.087,66.541
Média dos dias úteis ,991.0,577.0,1.115,50.0,2.733
Média dos Sábados ,629.0,288.0,753.0,13.0,1.683
Média dos Domingos ,373.0,206.0,451.0,7.0,1.036
Máxima Diária ,1.124,654.0,1.2329999999999999,55.0,3.0589999999999997
¹ Corresponde às entradas pelas linhas de bloqueios,,,,,
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 27/01/2020,,,,,
