DEMANDA (milhares),Linha 1-Azul ,Linha 2-Verde,Linha 3-Vermelha,Linha 15-Prata ,Rede
Total,23.701999999999998,13.970999999999998,26.349,1.454,65.476
Média dos dias úteis ,1.048,641.0,1.151,68.0,2.907
Média dos Sábados ,606.0,297.0,693.0,36.0,1.625
Média dos Domingos ,333.0,204.0,431.0,14.0,982.0
Máxima Diária ,1.107,678.0,1.209,71.0,3.054
¹ Corresponde às entradas pelas linhas de bloqueios,,,,,
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 10/03/2020,,,,,
