DEMANDA (milhares),Linha 1-Azul ,Linha 2-Verde,Linha 3-Vermelha,Linha 15-Prata ,Rede
Total,26.079,14.864,29.346999999999998,1.127,71.417
Média dos dias úteis ,1.103,647.0,1.222,54.0,3.0260000000000002
Média dos Sábados ,619.0,297.0,722.0,7.0,1.645
Média dos Domingos ,341.0,187.0,409.0,12.0,949.0
Máxima Diária ,1.146,664.0,1.2670000000000001,55.0,3.1260000000000003
¹ Corresponde às entradas pelas linhas de bloqueios,,,,,
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 10/12/2019,,,,,
