DEMANDA (milhares),Linha 1-Azul ,Linha 2-Verde,Linha 3-Vermelha,Linha 15-Prata,Rede
Total,11.87,6.334,14.847999999999999,966.0,34.018
Média dos dias úteis ,509.0,279.0,635.0,41.0,1.464
Média dos Sábados ,304.0,142.0,379.0,24.0,850.0
Média dos Domingos ,158.0,80.0,212.0,13.0,463.0
Máxima Diária ,526.0,286.0,658.0,43.0,1.506
¹ Corresponde às entradas pelas linhas de bloqueios,,,,,
² Demanda reduzida devido à pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03/2020,,,,,
Fonte: Diretoria de Operações/Departamento de Apoio à Gestão/Coordenadoria de Estudos Estatísticos e Informações Estratégicas - 09/03/2021,,,,,
,,,,,
