DEMANDA (milhares),Linha 1-Azul ,Linha 2-Verde,Linha 3-Vermelha,Linha 15-Prata *,Rede
Total,4.8389999999999995,3.0389999999999997,6.862,-,14.741
Média dos dias úteis ,198.0,126.0,280.0,-,604.0
Média dos Sábados ,109.0,64.0,158.0,-,331.0
Média dos Domingos ,68.0,39.0,98.0,-,206.0
Máxima Diária ,230.0,136.0,312.0,-,678.0
¹ Corresponde às entradas pelas linhas de bloqueios,,,,,
² Demanda reduzida devido à pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03,,,,,
* A Linha 15-Prata permaneceu fechada devido à inspeção da frota de trens motivada pelo rompimento de um pneu de uma composição,,,,,
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 26/05/2020,,,,,
